year,month,day,ss,temp,prcp
2017,11,20,2.1,4.9,1.2
2017,11,22,3.2,8.4,0.0
2017,11,24,3.5,10.3,0.0
2017,11,28,0.2,6.5,1.0
2017,11,30,0,2.9,0.0
2017,12,05,0,5.5,0.3
2017,12,12,0.1,5.4,0.0
2017,12,15,2.5,4.6,0.3
2017,12,19,0.1,0.7,0.3
2018,01,10,0,6.8,0
2018,01,16,0.3,3.3,1.2
2018,01,17,1.1,2.6,0.5
2018,01,18,0,5,0.5
2018,01,19,0.3,3.5,0.5
2018,01,23,0,5.6,0
2018,01,24,1.7,8.4,0
2018,01,25,0.6,6.9,0
2018,01,26,1.7,3.7,0
2018,02,27,6.6,-8.7,0
2018,02,28,9.3,-8.2,0
2018,03,01,9.7,-6.4,0
2018,03,02,0.5,-3.9,0
2018,03,06,0,1.5,4.4
2018,03,07,2.0,5.6,0
2018,03,09,1.9,6.5,0.2
2018,03,20,9.6,0.5,0
2018,03,21,8.6,1.3,0
2018,03,27,3.2,5.9,0.4
2018,04,10,10.4,15.7,0
2018,04,11,8.4,16.9,0
2018,04,12,5.7,19.9,0
2018,04,13,0.9,14.8,5
2018,04,17,9.0,15.5,0
2018,04,18,12.7,15.7,0
2018,04,19,12.7,17.4,0
2018,04,20,12.9,19.7,0
2018,05,22,10.0,20.9,0
2018,05,23,7.5,20.7,13
2018,05,24,6.1,21.1,0.1
2018,05,25,7.5,21.5,0
2018,05,29,10.6,25.9,0
2018,05,30,3.9,22.9,7.6
2018,05,31,4.1,26,0
2018,06,01,4.3,21.8,3.7
2018,06,12,2.6,20.2,2.6
2018,06,13,0,15.2,4.9
2018,06,14,0.7,17.1,0
2018,06,26,9.0,19.2,2.8
2018,06,27,8.4,18.7,1
2018,06,28,0,18.1,3.6
2018,06,29,9.8,24.2,0
2018,07,10,2.8,18,4.7
2018,07,11,5.6,17.9,2
2018,07,12,3.5,18.9,0.1
2018,08,22,9.8,25.7,0
2018,09,11,8.5,22.6,0
2018,09,12,12.2,22.7,0
2018,09,13,1.5,18.4,2.2
2018,09,14,0.2,17.5,0
2018,09,18,10.9,21.2,0
2018,09,19,6.9,21.9,0
2018,09,20,10.7,22.3,0
2018,09,21,9.5,19.3,1.9
2018,10,02,0.5,10.3,0
2018,10,03,3.5,13.6,1
2018,10,23,0.4,10.4,6.5
2018,10,24,1.6,10.2,0.6
2018,10,25,0.3,13.6,0
2018,10,26,3.1,11.6,0
2018,10,30,6.6,14.4,0
2018,10,31,0,10.4,0
2018,11,01,3.3,11.2,0
2018,11,02,2.2,10.3,5.6
2018,11,13,0.2,10.3,0
2018,11,14,8.5,7.5,0
2018,11,15,8.0,5.1,0
2018,11,23,0,5.8,0
2018,12,04,0.5,7.2,0.3
2018,12,05,7.4,2.4,0
2018,12,06,0,3.5,0
2018,12,07,0,10.5,0.8
2018,12,13,6.2,-0.4,0
2018,12,18,1.2,3.7,0.1
2018,12,19,0,2.2,0
2018,12,20,0,2.6,1.4
2018,12,21,0,7.6,2.9
2019,01,22,0,-4.9,0
2019,01,23,5.9,-5.7,0
2019,01,24,0,-4.4,0
2019,01,25,0.3,-3.6,0
2019,01,29,1.5,0.9,0
2019,01,30,8.0,1.2,0
2019,01,31,0,0.1,0
2019,02,01,0,0.6,0
2019,02,12,0.8,1.9,0
2019,02,13,1.2,4.4,0.3
2019,03,05,2.0,5.4,0
2019,03,06,8.6,6.7,0.3
2019,03,07,3.4,8.4,0
2019,03,08,4.7,7.4,0
2019,03,12,5.2,4.1,1.5
2019,03,13,6.0,6,0.3
2019,03,14,1.5,5.6,0
2019,03,15,2.0,7.4,0.8
2019,03,26,1.2,5.3,0.3
2019,03,27,0.8,5.8,0.3
2019,04,16,12.9,9.2,0
2019,04,17,10.9,10.3,0
2019,04,18,12.8,12.9,0
2019,04,23,3.1,12.3,0
2019,04,24,9.5,15.9,0
2019,04,25,11.6,19.3,0
2019,04,26,7.9,17.6,0
2019,05,09,2.9,13.4,0.8
2019,05,10,3.9,13.1,0
2019,05,28,0.1,13.7,12.2
2019,05,29,0.9,11.9,14
2019,05,30,14.3,13.3,0
2019,05,31,14.0,16.8,0
2019,06,04,13.5,23,0
2019,06,05,14.8,23.8,0
2019,06,06,6.0,20,0
2019,06,07,7.8,19.1,20.3
2019,06,18,13.5,22.9,0
2019,06,19,10.2,22.5,0.3
2019,06,20,10.1,22,3.3
2019,06,21,8.0,22.3,0.2
2019,06,26,14.6,30.8,0
